,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,RegAwarded,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedTotal,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedEconomic,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SpinAwardedSelfSchedule,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,SuppAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded,STRAwarded
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14587,1.9403726708074533,0.6951841162390668,1.4,0.1,3.1,1562.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14588,2.323189926547744,0.6702388124995247,2.5,0.1,3.1,2214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A14612,,,,,,,,,,,,,,,,,,,,,,,,,10.08819188191882,2.947895550193558,12.0,0.1,12.0,16403.4,,,,,,
A14871,12.184736842105263,1.5353456321781678,12.0,2.3,15.0,4630.2,21.83795130142737,3.5339327796902924,22.0,0.5,30.0,52018.0,21.83795130142737,3.5339327796902924,22.0,0.5,30.0,52018.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,43.96251102745359,19.721283502169182,52.5,1.0,90.0,99443.19994410001
A14872,12.251363636363637,1.7904485177078,12.5,2.0,14.5,2695.3,21.50947176684882,4.514480018201187,23.0,0.1,30.0,47234.8,21.50947176684882,4.514480018201187,23.0,0.1,30.0,47234.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,39.639014944311924,20.489950966994986,44.0,0.1,90.0,82092.39994967
A14873,,,,,,,2.5372784219645474,0.30064873103730266,2.8,0.2,2.8,19037.2,2.5372784219645474,0.30064873103730266,2.8,0.2,2.8,19037.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,2.537435508345979,0.2970474069073463,2.8,1.5,2.8,16721.7
A15171,28.76935483870968,17.0412465161666,27.95,0.8,57.5,5351.1,39.306666666666665,33.10003576759536,26.55,0.8,100.0,1179.2,39.306666666666665,33.10003576759536,26.55,0.8,100.0,1179.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,96.54519224086539,56.47960064806878,107.5499995,2.4,167.0,20081.3999861
A15172,28.756643356643355,17.075287139814694,27.3,0.4,57.5,4112.2,61.027499999999996,36.478029829699004,70.0,4.0,100.0,2441.1,61.027499999999996,36.478029829699004,70.0,4.0,100.0,2441.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,100.99999993776979,57.070590901801566,115.0,2.4,167.0,28077.9999827
A15484,,,,,,,38.215126050420174,15.2630971007331,41.7,0.5,77.0,9095.2,38.215126050420174,15.2630971007331,41.7,0.5,77.0,9095.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,49.941666650936384,35.231487152502915,45.0,0.2,225.0,111469.79996489
A15485,20.25,3.862210075418823,22.0,14.5,22.5,81.0,38.32425249169435,12.405406476856587,45.0,0.3,48.0,11535.6,38.32425249169435,12.405406476856587,45.0,0.3,48.0,11535.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,124.37007488514165,30.14533018388381,135.0,0.6,153.0,381940.49997227
A15486,,,,,,,8.0,0.0,8.0,8.0,8.0,69504.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,8.0,69504.0,,,,,,,,,,,,
A15508,,,,,,,,,,,,,,,,,,,,,,,,,10.991741573033707,0.2340363791429567,11.0,2.9,11.0,39130.6,10.875862068965517,0.9845411055219448,11.0,1.5,11.0,3469.4
A15509,,,,,,,,,,,,,,,,,,,,,,,,,10.972859922178989,0.29861740844889195,11.0,1.2,11.0,33840.3,10.771153846153846,1.3353708076399644,11.0,0.1,11.0,3920.7
A15806,,,,,,,1.0,0.0,1.0,1.0,1.0,1917.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1917.0,,,,,,,,,,,,
A16012,25.383333333333333,15.789181950521268,23.4,0.2,53.5,7005.8,40.68,23.20252141470836,28.4,20.0,70.5,203.4,40.68,23.20252141470836,28.4,20.0,70.5,203.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,39.156179738764045,26.47964124675024,35.650000000000006,0.1,107.0,6969.7999935
A16013,26.66174698795181,15.250407768977245,25.75,0.1,53.5,8851.7,37.93333333333333,27.50442388659201,24.2,20.0,69.6,113.8,37.93333333333333,27.50442388659201,24.2,20.0,69.6,113.8,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,40.57277774611111,26.492490399417807,36.99999995,1.9,108.0,7303.0999943
A16114,17.352406417112302,4.734064164869773,19.5,0.2,19.5,19469.4,30.44051724137931,11.70003869049196,36.3,0.3,39.0,7062.2,30.44051724137931,11.70003869049196,36.3,0.3,39.0,7062.2,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,61.128465790757865,37.07194924009662,66.7,0.2,129.5,66140.9999856
A16115,,,,,,,40.0,0.0,40.0,40.0,40.0,93200.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,40.0,40.0,40.0,93200.0,,,,,,,,,,,,
A16118,,,,,,,11.581976524043922,6.118310670605942,14.0,1.0,21.0,61176.0,10.747822794396063,6.572978948365729,12.0,0.0,21.0,56770.0,0.8341537296478606,3.477868967600477,0.0,0.0,20.0,4406.0,,,,,,,,,,,,
A16120,,,,,,,45.0,0.0,45.0,45.0,45.0,51300.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,45.0,45.0,51300.0,,,,,,,,,,,,
