,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedEconomic,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,RegOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SpinOfferedSelfSchedule,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedEconomic,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,SuppOfferedSelfSchedule,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal,STROfferedTotal
,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol,Mean,StdDev,Median,Min,Max,TotalVol
Unit Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A13537,226.704540269222,11.752942898552805,226.0,167.0,255.0,1987292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.964111339265343,1.177811628104715,7.82,4.8,10.62,69813.4,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A13538,237.55318275154005,12.363589635797467,238.0,167.0,269.0,2082391.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.112817704768424,0.7630050030296597,6.9,5.3,9.0,62350.96,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A13618,49.20249176571674,5.354086142308544,51.0,2.0,51.0,343581.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,87660.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A13646,460.0597764088524,76.48189662135748,446.0,147.0,629.0,4032884.0,45.52817704768423,29.145668612845654,70.0,10.0,70.0,399100.0,45.52817704768423,29.145668612845654,70.0,10.0,70.0,399100.0,0.0,0.0,0.0,0.0,0.0,0.0,45.52817704768423,29.145668612845654,70.0,10.0,70.0,399100.0,,,,,,
A13647,516.856154677555,67.51751010159239,535.4,110.0,560.0,4303861.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533709787816564,0.24773100571439574,0.75,0.25,0.75,4678.5,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.9,0.9,0.9,7840.8
A13741,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.265571526351814,0.441662250206663,1.0,1.0,2.0,11094.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8712.0
A13742,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.265571526351814,0.441662250206663,1.0,1.0,2.0,11094.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,8712.0
A13969,127.20195071868584,27.59540946769919,145.1,46.8,146.0,1115052.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,17532.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
A13986,36.31232032854209,3.0691756328004947,37.9,25.4,38.0,318313.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4081108829568789,0.003914607945127264,0.41000000000000003,0.4,0.41000000000000003,3577.5000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,439.20000000000005
A14556,18.340659911665366,1.4859374354448787,18.8,6.0,18.8,141186.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,0.28,0.28,0.28,2454.48,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,1568.1599999999999
