Time_Period,pIES_MW,pGridSale_MW,pGridPurchase_MW,pTurbine_MW,qSteam_Turbine_MWth,pElectrolyzer_MW,pElectrolyzerSetpoint_MW,mHydrogenProduced_kg_per_hr,qSteam_Electrolyzer_MWth,H2_storage_level_kg,H2_to_storage_kg_per_hr,H2_from_storage_kg_per_hr,H2_to_market_kg_per_hr,BatterySOC_MWh,BatteryCharge_MW,BatteryDischarge_MW,Energy_Revenue_USD,H2_Revenue_USD,AS_Revenue_USD
7748,719.2450758735943,719.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13067.560175046183,4979.674796747968,4716.406363967935,4716.406363967935,1.0,0.0,2.5,27334.90910857595,14149.219091903806,1912.4237517913443
7749,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13134.981920789869,4979.674796747968,4716.406363967935,4716.406363967935,1.0,0.0,0.0,19291.19371713779,14149.219091903806,1777.4786130351413
7750,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13202.403666533555,4979.674796747968,4716.406363967935,4716.406363967935,1.0,0.0,0.0,7407.560359153597,14149.219091903806,1009.7107248223183
7751,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13269.825412277241,4979.674796747968,4716.406363967935,4716.406363967935,1.0,0.0,0.0,6253.60078699711,14149.219091903806,923.9140084137713
7752,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13337.247158020928,4979.674796747968,4716.406363967935,4716.406363967935,1.0,0.0,0.0,4465.321822692493,14149.219091903806,760.1332636272296
7753,714.4624671779421,714.4624671779421,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13404.668903764614,4979.674796747968,4716.406363967935,4716.406363967935,3.1,2.2826086956521627,0.0,0.0,14149.219091903806,892.1465888859627
7754,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13472.0906495083,4979.674796747968,4716.406363967935,4716.406363967935,5.4,2.5,0.0,0.0,14149.219091903806,700.0526305274724
7755,716.7450758735943,716.7450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13539.512395251986,4979.674796747968,4716.406363967935,4716.406363967935,5.4,0.0,0.0,0.0,14149.219091903806,514.3277813120638
7756,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13606.934140995672,4979.674796747968,4716.406363967935,4716.406363967935,7.7,2.5,0.0,0.0,14149.219091903806,601.2981358210607
7757,714.2450758735943,714.2450758735943,0.0,919.2349132719683,2951.3048780487807,200.0,200.0,4979.674796747968,74.69512195121933,13674.355886739359,4979.674796747968,4716.406363967935,4716.406363967935,10.0,2.5,0.0,0.0,14149.219091903806,549.8881931574421
