Time,Rse,Reg,Syn,TMR
2024-01-16 06:00:00,0.04,76.93,0.04,0.0
2024-01-16 07:00:00,0.04,47.9,0.04,0.0
2024-01-16 08:00:00,0.02,9.5,0.02,0.0
2024-01-16 09:00:00,0.04,37.94,0.04,0.0
2024-01-16 10:00:00,0.04,59.96,0.04,0.0
2024-01-16 11:00:00,141.12,130.46,141.12,0.0
2024-01-16 12:00:00,0.0,76.65,29.41,0.0
2024-01-16 13:00:00,0.04,61.96,0.04,0.0
2024-01-16 14:00:00,0.04,34.11,0.04,0.0
2024-01-16 15:00:00,0.04,90.67,0.04,0.0
2024-01-16 16:00:00,0.01,76.7,0.01,0.0
2024-01-16 17:00:00,0.0,0.01,0.0,0.0
2024-01-16 18:00:00,3.98,32.99,3.98,0.0
2024-01-16 19:00:00,0.01,0.83,0.01,0.0
2024-01-16 20:00:00,2.1,5.21,2.1,0.0
2024-01-16 21:00:00,0.04,142.27,0.04,0.0
2024-01-16 22:00:00,0.04,68.47,0.04,0.0
2024-01-16 23:00:00,0.02,63.14,0.02,0.0
2024-01-17 00:00:00,0.0,75.09,0.0,0.0
2024-01-17 01:00:00,0.02,93.21,0.02,0.0
2024-01-17 02:00:00,0.0,52.99,0.01,0.0
2024-01-17 03:00:00,0.0,47.31,0.0,0.0
2024-01-17 04:00:00,0.0,52.31,0.01,0.0
2024-01-17 05:00:00,0.01,18.71,0.01,0.0
2024-01-17 06:00:00,0.01,68.83,0.01,0.0
2024-01-17 07:00:00,0.02,84.27,0.02,0.0
2024-01-17 08:00:00,3.24,133.8,3.24,0.0
2024-01-17 09:00:00,0.0,130.32,0.0,0.0
2024-01-17 10:00:00,0.0,109.15,0.0,0.0
2024-01-17 11:00:00,0.0,129.47,0.0,0.0
2024-01-17 12:00:00,0.04,48.21,0.04,0.0
2024-01-17 13:00:00,0.04,68.35,0.04,0.0
2024-01-17 14:00:00,0.0,88.54,0.0,0.0
2024-01-17 15:00:00,0.01,38.66,0.01,0.0
2024-01-17 16:00:00,0.04,51.56,0.04,0.0
2024-01-17 17:00:00,0.01,43.88,0.01,0.0
2024-01-17 18:00:00,0.0,50.49,0.0,0.0
2024-01-17 19:00:00,0.04,54.14,0.04,0.0
2024-01-17 20:00:00,0.0,26.85,0.0,0.0
2024-01-17 21:00:00,0.0,74.79,0.0,0.0
2024-01-17 22:00:00,0.0,27.23,0.0,0.0
2024-01-17 23:00:00,0.04,30.95,0.04,0.0
2024-01-18 00:00:00,0.04,62.86,0.04,0.0
2024-01-18 01:00:00,0.04,99.06,0.04,0.0
2024-01-18 02:00:00,0.0,74.63,0.04,0.0
